x,origin,n_10,n_100,n_1000,n_10000
-2.13,0.04127953042633042,0.02119802554268133,0.01781992103352911,0.04745419191746948,0.04026076431672518
-2.12,0.04216610696177031,0.021851956310330753,0.018308311594103795,0.04841657856053209,0.0411267002916175
-2.11,0.043067417889265734,0.022522723749644886,0.018807916366130568,0.0493937390454248,0.042007088100564756
-2.0999999999999996,0.04398359598042723,0.023210642941643937,0.019318924462729502,0.05038578197814953,0.04290206034440412
-2.09,0.0449147723307671,0.02391603087789971,0.019841526144174896,0.0513928138208483,0.04381174806360946
-2.08,0.04586107627105489,0.024639206328249123,0.020375912760035354,0.05241493880744507,0.04473628065243323
-2.0700000000000003,0.04682263527768312,0.025380489703140732,0.0209222766891082,0.05345225885867691,0.045675785772049976
-2.06,0.047799574882077034,0.026140202910575453,0.02148081127713095,0.054504873496553606,0.04663038926273241
-2.05,0.048792018579182764,0.02691866920760713,0.02205171077225311,0.05557287975828295,0.047600215055092404
-2.04,0.049800087735070775,0.027716213046373346,0.02263517025825432,0.056656372109701716,0.048585385080420734
-2.0300000000000002,0.05082390149369116,0.02853315991463115,0.023231385585494903,0.057755442358253,0.04958601918016112
-2.02,0.051863576682820565,0.029369836170778426,0.02384055329958732,0.05887017956555127,0.0506022350145545
-2.01,0.05291922771924031,0.030226568873345544,0.024462870567778006,0.060000669959578014,0.05163414797049142
-2,0.05399096651318806,0.031103685604949128,0.025098535103031363,0.06114699684655263,0.052681871068612295
-1.9899999999999998,0.05507890237212579,0.03200151429070321,0.02574774508580867,0.06230924052252263,0.05374551486969566
-1.98,0.05618314190386805,0.03292038301109024,0.026410699083536205,0.06348747818471928,0.0548251873803758
-1.9699999999999998,0.05730378891911715,0.03386061980930025,0.02708759596776004,0.06468178384272681,0.05592099395823376
-1.96,0.05844094433345147,0.03482255249305114,0.0277786348289846,0.06589222822951153,0.05703303721630567
-1.9500000000000002,0.059594706068816054,0.03580650843091165,0.028484014889196142,0.0671188787123619,0.0581614169270544
-1.94,0.060765168954564776,0.03681281434315204,0.02920393541207241,0.06836179920378806,0.059306229925851314
-1.9300000000000002,0.061952424628105136,0.03784179608715676,0.02993859561088256,0.06962105007243267,0.06046757001401668
-1.92,0.06315656143519865,0.038893778437438055,0.030688194554083892,0.07089668805404534,0.06164552786146868
-1.9100000000000001,0.06437766432996934,0.03996908486029741,0.03145293106862231,0.07218876616257236,0.0628401909090309
-1.9,0.0656158147746766,0.041068037283187975,0.03223300364094776,0.07349733360141741,0.06405164327045204
-1.8900000000000001,0.06687109063930714,0.04219095585883834,0.03302861031575556,0.07482243567492594,0.06527996563418895
-1.88,0.06814356610104458,0.04333815872420619,0.03383994859246928,0.07616411370015069,0.06652523516501001
-1.87,0.06943331154367419,0.044509961754335144,0.03466721531948046,0.07752240491895278,0.06778752540547232
-1.8599999999999999,0.0707403934569834,0.04570667831119917,0.03551060658616502,0.07889734241049776,0.06906690617733145
-1.85,0.07206487433621798,0.04692861898762232,0.03637031761269647,0.08028895500420193,0.07036344348294014
-1.8399999999999999,0.07340681258165692,0.04817609134637362,0.037246542637680374,0.08169726719319065,0.07167719940669644
